droplet_number,ok_down,N_down,R2_down,v_down_mps_wls,v_down_stderr_mps_wls,V_stop_V,V_stop_sigma_V,radius,effective_viscosity,q_C_method1_slip,q_stderr_C_total,n_e_estimate,residual_score
13,True,200.0,0.9995876967685432,4.11739556874542e-05,1.565380993786149e-07,259.7,1.0,5.778350749662362e-07,1.543682221728058e-05,1.5994284595116538e-19,4.1026280767543405e-21,0.9982847243992786,
14,True,151.0,0.999038212833327,4.030419027611844e-05,1.994958937863408e-07,280.0,1.0,5.711845237950711e-07,1.540903202576785e-05,1.4328354968621834e-19,3.690716378524613e-21,0.8943055755874814,
15,True,200.0,0.9996281986263869,5.3566325719636025e-05,1.84719697637541e-07,415.5,1.0,6.6594128199356e-07,1.575987297112257e-05,1.530248116421887e-19,3.8603586270149345e-21,0.9551057504823698,
16,True,172.0,0.9991413415165554,3.057158619833526e-05,1.431897575892008e-07,206.8,1.0,4.912526560584567e-07,1.5026732148615733e-05,1.2342105893377098e-19,3.2321766562202e-21,0.7703336593146882,
17,True,171.0,0.99959837245851,4.778991838120629e-05,1.7058516801736769e-07,326.0,1.0,6.262957321118089e-07,1.562411080891221e-05,1.622354750456968e-19,4.1205389019440135e-21,1.0125941896971693,
18,True,250.0,0.9990592699935814,4.944420493944887e-05,2.53364527086456e-07,350.0,1.0,6.378821536630477e-07,1.5665281399005934e-05,1.596534763407922e-19,4.074383029916934e-21,0.9964786213502612,
19,True,192.0,0.9989112880353144,4.2845325351356886e-05,2.642623294302312e-07,331.0,1.0,5.904221044386141e-07,1.5487968850135863e-05,1.3387050436730475e-19,3.454947003221102e-21,0.8355539678111717,
20,True,291.0,0.9991824445281076,3.055037773109702e-05,1.376476527216321e-07,170.0,1.0,4.91065657466794e-07,1.502571808629529e-05,1.4996670023207546e-19,3.956303710260127e-21,0.936018520365436,
21,True,182.0,0.99880564292359,3.948935907536065e-05,2.125976926707978e-07,254.0,1.0,5.648890988630839e-07,1.5382219256401313e-05,1.5278507552968434e-19,3.9551216325374025e-21,0.9536094353606979,
22,True,139.0,0.9991379493572676,3.196559531327582e-05,1.6961677663969213e-07,197.5,1.0,5.034061141860709e-07,1.5091307551701945e-05,1.3906358666963136e-19,3.652834983912744e-21,0.867966638125565,
23,True,188.0,0.9915394243024964,2.9500562032087532e-05,5.224027230207196e-07,179.0,1.0,4.817275629870648e-07,1.4974260938243765e-05,1.3445486635064416e-19,4.019589881819078e-21,0.8392012684329546,
24,True,229.0,0.9979947911608592,3.032417570724044e-05,1.6295925430846194e-07,198.0,1.0,4.890671849830324e-07,1.5014841017758848e-05,1.271936556793501e-19,3.3485472533606186e-21,0.7938803561365013,
25,True,162.0,0.9993256193691016,5.910994458519244e-05,2.811740581765e-07,493.5,1.0,7.020344493345701e-07,1.587190261574093e-05,1.5094307133020332e-19,3.812478084605534e-21,0.9421125494344423,
26,True,189.0,0.9999125006795972,7.942522110471316e-05,1.4037681061667962e-07,396.5,1.0,8.216655510458579e-07,1.6180965083025333e-05,3.0120842433902715e-19,7.486569519592953e-21,1.8799951138160662,
27,True,157.0,0.9971303822924495,3.491669485013919e-05,3.683518928110648e-07,187.0,1.0,5.28297389711132e-07,1.5215859766166994e-05,1.6975354647372795e-19,4.630870507486714e-21,1.0595183007376698,
28,True,248.0,0.999541856750582,3.3870715619196706e-05,1.0165693540741419e-07,198.5,1.0,5.19598758268858e-07,1.5173456757265686e-05,1.521489188658069e-19,3.9498213311670355e-21,0.9496388577703281,
29,True,130.0,0.998716804040026,4.479202474728111e-05,3.409099660136481e-07,381.8,1.0,6.04779134961808e-07,1.5544100634666537e-05,1.2473247577387617e-19,3.2404106865392424e-21,0.7785188794226054,
30,True,270.0,0.997178810962385,3.614083277785168e-05,3.108043044181858e-07,225.0,1.0,5.383151995247594e-07,1.5263278340053225e-05,1.492631069950785e-19,3.973276535954974e-21,0.9316270367919903,
31,True,312.0,0.9985421454942456,3.191940959089044e-05,1.1561668512921999e-07,178.0,1.0,5.030077042804381e-07,1.5089231410407391e-05,1.5393202291761373e-19,4.031212427177851e-21,0.9607681178903883,
