droplet_number,ok_down,ok_up,N_down,N_up,R2_down,R2_up,v_down_mps_wls,v_up_mps_wls,v_down_stderr_mps_wls,v_up_stderr_mps_wls,V_rise_V,radius,effective_viscosity,q_method2,q_unc_from_v,n_e_estimate
37,True,True,276,171,0.9994622803350176,0.998508705054354,4.175398969511957e-05,3.0718075367443175e-05,1.1684383353985163e-07,2.1768396778548281e-07,495.0,5.822315434680541e-07,1.545489916804045e-05,1.4899775248531343e-19,6.716691338429089e-22,0.9299708242113425
38,True,True,147,261,0.9989482425470758,0.99828879061018,3.9525409687534994e-05,4.477099537602614e-05,2.2267092759017203e-07,2.8287757288565694e-07,549.0,5.651689827489859e-07,1.538342196712543e-05,1.5098032468621275e-19,1.0620355685236715e-21,0.9423450665940293
39,True,True,198,344,0.9990138569265752,0.9988660373811648,4.927962083307779e-05,3.559353181408397e-05,2.608004866473401e-07,1.885983888009953e-07,681.0,6.367381434370977e-07,1.5661273385970893e-05,1.4056057776324385e-19,9.42805486175372e-22,0.8773101216207342
40,True,True,33,354,0.9958000555681668,0.9985027901073444,5.704814045466335e-05,3.48362868423095e-05,1.2735476044132532e-06,1.9777321331085306e-07,680.0,6.888156416586028e-07,1.5832051836399414e-05,1.6665777416572603e-19,4.582841767116197e-21,1.0401960097848115
41,True,True,338,413,0.9980353325145136,0.99829964573105,2.609503392290803e-05,2.9108303285400378e-05,1.769776571964878e-07,1.6824367936691025e-07,287.0,4.5024466375556664e-07,1.4788086343370616e-05,1.4484261653597723e-19,1.194906627233395e-21,0.9040365054779425
42,True,True,230,287,0.9969279773634316,0.9988506132680156,3.061684275239949e-05,3.0042891419224285e-05,2.6958115739446904e-07,1.2097693831113074e-07,338.0,4.916514760524246e-07,1.502889276956114e-05,1.4997556582265578e-19,1.548396983554415e-21,0.9360738550294936
43,True,True,274,348,0.999336443139472,0.9981995395569432,5.877431464680517e-05,1.743952951183131e-05,2.743852511845556e-07,6.556548688467469e-08,310.0,6.998984435179884e-07,1.586555162400605e-05,3.0875553473167833e-19,2.00216341591984e-21,1.9271004718177556
44,True,True,174,279,0.9972181827642068,0.9977217080861958,3.31136049553323e-05,1.8753105138521785e-05,3.409091218413469e-07,1.2336919681896346e-07,309.0,5.132190964295813e-07,1.5141602709744502e-05,1.4752215575976315e-19,1.973416147034056e-21,0.9207608738585759
45,True,True,101,238,0.993446658190722,0.9959336005647826,3.4739694218423253e-05,1.617325698838484e-05,6.076608350549827e-07,1.731107835396305e-07,315.0,5.268345768499471e-07,1.5208810351119251e-05,1.464669394155413e-19,3.4164304973637126e-21,0.9141747314705958
46,True,True,345,175,0.9966403110548878,0.9953934804905836,3.345304089657425e-05,4.100343774521697e-05,1.221321844761101e-07,3.143387449984517e-07,390.0,5.16088135740092e-07,1.5156008627535735e-05,1.6888807215701572e-19,9.793299739498049e-22,1.0541164349361978
47,True,True,320,271,0.999609534357006,0.9989535266863774,4.594843845385761e-05,2.0038456493710058e-05,1.2936130522856224e-07,8.270452475329813e-08,252.0,6.131613124285346e-07,1.5575838246192354e-05,2.8283665937417087e-19,1.1059482772080336e-21,1.7653275760740552
48,True,True,141,124,0.9919452766247092,0.9891369267330198,3.316022809585227e-05,1.1145919620112976e-05,5.941369540897922e-07,2.1867961513332897e-07,285.0,5.136140329667909e-07,1.5143593647950814e-05,1.3675314823486252e-19,3.4685532717708225e-21,0.8535460156689723
49,True,True,332,178,0.9995814221671432,0.9977687798551772,3.665500132840664e-05,2.1658746256880443e-05,1.0946080364083293e-07,1.6015341752909576e-07,375.0,5.424726884946935e-07,1.5282528383554643e-05,1.4580255932434035e-19,6.798886406594617e-22,0.9100279971024741
50,True,True,231,126,0.9989452820794542,0.9940626234008008,3.7791361986155865e-05,2.3492670607531475e-05,1.966266207567133e-07,2.924088941204892e-07,357.0,5.515597494921097e-07,1.5323757905656544e-05,1.6409272985431793e-19,1.3222540043588567e-21,1.0241862624387639
51,True,True,234,346,0.9907989954348518,0.999188667120365,4.89974675719439e-05,1.968587042906968e-05,6.621283449436802e-07,7.440212411998066e-08,263.0,6.347724935516331e-07,1.5654357918287567e-05,2.934954529082445e-19,5.280272216835836e-21,1.8318545326397795
52,True,True,227,71,0.9945615306598906,0.9847498085275174,3.198527719358412e-05,9.285571830234665e-06,3.1952503527132254e-07,2.3728239592151898e-07,287.0,5.035758085128611e-07,1.509219101863892e-05,1.2360357498295495e-19,1.8892110991198596e-21,0.7714728348919047
53,True,True,239,176,0.9991904021660548,0.9906193316347236,5.123718200230861e-05,2.734123907667182e-05,1.866183965123265e-07,4.353399344964978e-07,680.0,6.502244487081797e-07,1.570775247806406e-05,1.3348242961371642e-19,9.618552210335912e-22,0.8331317957150811
54,True,True,323,130,0.9929288341781612,0.9931390667516106,2.10994060197243e-05,1.6995259563251415e-05,2.055398604470329e-07,2.5242790616612245e-07,224.0,4.001233495314506e-07,1.4444092360977322e-05,1.1116105838062074e-19,1.5208954575856874e-21,0.693812754609307
55,True,True,304,95,0.9990452533801848,0.995474687904782,2.139263860605981e-05,3.1488303092667976e-05,7.666452210334574e-08,5.281032552549742e-07,247.0,4.0321741601077217e-07,1.4467280587892441e-05,1.412475056966242e-19,1.5125065173170534e-21,0.8815975885504282
56,True,False,196,0,0.9982355949973482,,2.746854760221053e-05,,2.130822105632353e-07,,257.0,4.631733086820118e-07,1.486702414238639e-05,,,
57,True,False,348,62,0.99688081697056,0.975760509100744,2.6897140283471363e-05,1.81332965951544e-05,1.8925621015119697e-07,7.946556462635826e-07,233.0,4.578344807257996e-07,1.483486442120096e-05,1.484549530195211e-19,2.9283784895791024e-21,0.9265829364199872
58,True,True,166,158,0.9988340074369636,0.9891579185127723,5.0676958107990434e-05,1.309571444369106e-05,2.711611877105372e-07,1.9933118796073438e-07,519.0,6.463914329024073e-07,1.5694711608709932e-05,1.4098358988401428e-19,1.1501323219040729e-21,0.8799503556111298
59,True,False,344,157,0.9991070939862656,0.063256284623451,3.2348601200486824e-05,6.195008013420349e-07,1.194563384591786e-07,3.9883410734310965e-07,315.0,5.066990982305042e-07,1.5108364419095383e-05,9.061567875596228e-20,1.2233932097060668e-21,0.5655785812437599
60,True,True,322,98,0.9969562833886644,0.9895521202545476,3.124046192102147e-05,3.405416694492618e-05,1.5506191793925626e-07,7.521919115937997e-07,426.0,4.971176436837335e-07,1.5058218783487892e-05,1.2976363784557521e-19,1.6605968754953097e-21,0.8099209231481977
61,True,True,169,164,0.9985453003131816,0.9945253437094798,9.099748467785354e-05,2.1421066051386346e-05,2.631324613298581e-07,2.989624048415663e-07,679.0,8.830014409053728e-07,1.6310457067659225e-05,2.696796184559555e-19,1.3025978111895056e-21,1.6832077857899626
